ID,Week1-0to14,Week1-14to20,Week1-36to42,Week2-0to14,Week2-14to20,Week2-36to42,Week3-0to14,Week3-14to20,Week3-36to42,Week3-60to66,Week3-88to94,Week4-0to14,Week4-14to20,Week4-36to42,Week4-60to66,Week4-88to94,Week5-0to14,Week5-14to20,Week5-36to42,Week5-60to66,Week5-88to94,Avg-0to14,Avg-14-20,Avg-36to42,Avg-60to66,Avg-88to94,kc,ko,ssq_res,res2,res5,res27,res51,res72
ln59-4,0.833333333,2.444444444,3.527777778,1.25,1.75,2.666666667,0.333333333,2.194444444,4.194444444,3.972222222,2.638888889,0.472222222,2.305555556,4.972222222,5.555555556,2.222222222,0.083333333,2.222222222,6,5.333333333,3.111111111,0.594444444,2.183333333,4.272222222,4.953703704,2.657407407,-0.0732094068,2.8205350337,0.1703740609,0.3241198129,-0.2494434864,0.0367279239,-0.0392559634,-0.0144355048
ln60-6,1.138888889,2.833333333,5.083333333,1.25,2.305555556,3.888888889,1.25,3.638888889,5.5,4.444444444,0.166666667,1.833333333,4.027777778,7.666666667,2.805555556,0.305555556,0.722222222,4.638888889,7.388888889,4.166666667,0.222222222,1.238888889,3.488888889,5.905555556,3.805555556,0.231481481,-3.41462685746731E-009,3.893520117,13.582904403,-0.0594452926,-1.2291950573,-2.4049181038,-0.585204913,2.437694463
ln61-7,1.055555556,2.805555556,4.75,1.444444444,3.25,5.361111111,1.388888889,3.361111111,5.972222222,2,0.277777778,1.194444444,5.166666667,7.972222222,3.472222222,0.055555556,1.194444444,4.916666667,7.333333333,3.083333333,0.305555556,1.255555556,3.9,6.277777778,2.851851852,0.212962963,-3.36917827547959E-009,4.5987256657,12.4439673667,0.1365258592,-1.2395300754,-2.2405858273,0.6763240098,2.3262102727
ln62-8,1.75,2.277777778,3.555555556,1.75,2.75,4.333333333,1.583333333,2.888888889,5.333333333,4.638888889,0.361111111,1.333333333,4.055555556,7.361111111,6.25,0.222222222,1.083333333,4.305555556,7.25,7.111111111,0.333333333,1.5,3.255555556,5.566666667,6,0.305555556,-2.62621071889492E-007,9.3493722911,20.2218200659,1.3166736525,2.0375774838,1.0159568518,-3.6435606938,-0.1696045472
ln63-9,0.75,1.777777778,3.5,1.111111111,2.944444444,3.472222222,0.777777778,2.25,4.666666667,4,1.25,0.611111111,3.444444444,5.694444444,6.194444444,2.472222222,0.138888889,3.611111111,6.388888889,6.388888889,3.25,0.677777778,2.805555556,4.744444444,5.527777778,2.324074074,-0.0705186858,3.0817474007,0.9948191863,0.3229203932,-0.7082375425,-0.1760462933,-0.5244128254,-0.2879931953
ln64-0,0.472222222,1.944444444,3.805555556,0.972222222,2.111111111,3.5,0.416666667,2.305555556,5.055555556,5.527777778,1.166666667,0.083333333,1.027777778,2.222222222,2,0.472222222,0.388888889,2.944444444,5.666666667,6,1.805555556,0.466666667,2.066666667,4.05,4.509259259,1.148148148,-3.52475418761323E-009,2.1126835443,11.9381448803,0.174463015,-0.8306236031,-2.0502148271,-2.5329482775,0.7736692789
ln65-1,0.194444444,1.555555556,1.861111111,0.111111111,1.444444444,2.333333333,0.083333333,0.916666667,2.027777778,1.055555556,0.222222222,0.083333333,0.944444444,2,0.666666667,0.055555556,0,1.083333333,2.888888889,0.833333333,0.138888889,0.094444444,1.188888889,2.222222222,0.851851852,0.138888889,3.34484068531282E-013,2.0000000303,4.3079751556,0.5125581766,-0.0181779593,-0.3236807557,1.0289494841,1.697475349
ln66-2,0.333333333,2.805555556,5.111111111,1.25,3.166666667,5.416666667,1.555555556,3.944444444,6.666666667,2.055555556,0.388888889,1.055555556,4.583333333,8.361111111,1.972222222,0.333333333,0.472222222,4.194444444,7.972222222,6.527777778,0.222222222,0.933333333,3.738888889,6.705555556,3.518518519,0.314814815,-0.0694332736,5.0068895003,0.7135694206,0.6874739746,-0.3723224667,0.064226947,0.0240380576,-0.3124452061
ln67-3,1.444444444,3.388888889,5.416666667,0.861111111,3.111111111,5.083333333,1.194444444,3.583333333,6.527777778,3.138888889,0.222222222,0.638888889,4.138888889,8.805555556,2.138888889,0.611111111,0.25,4.944444444,8.388888889,3.444444444,0.388888889,0.877777778,3.833333333,6.844444444,2.907407407,0.407407407,-4.6385875188842E-009,2.3456004758,30.968462558,-0.1661319544,-2.4624604036,-4.6375838653,-0.7387559232,1.6805377326
ln68-4,0.083333333,1.472222222,3.527777778,0.861111111,3.222222222,5.583333333,0.805555556,3.416666667,6.972222222,2.555555556,0.416666667,0.472222222,4,7.972222222,3.333333333,0.222222222,0.25,4.138888889,7.638888889,4.972222222,0.277777778,0.494444444,3.25,6.338888889,3.62037037,0.305555556,-0.0875040246,4.1559009713,1.2160430226,0.8763410732,-0.3253684902,0.4397450542,0.2356159376,-0.3054735813
