ID,T1,T2,T3,T4,T5
ln38-1,0.994444444,2.883333333,4.472222222,4.824074074,2.157407407
ln39-2,1.044444444,3.305555556,5.844444444,4.527777778,0.277777778
ln40-4,0.877777778,3.327777778,6.011111111,4.490740741,0.398148148
ln41-5,1.788888889,3.992222222,6.144444444,3.666666667,0.222222222
ln42-6,1.563333333,3.518888889,6.38,3.537037037,0.453703704
ln43-7,0.311111111,2.383333333,5.538888889,5.25,0.87037037
ln44-8,1.608888889,3.823333333,5.952222222,3.842592593,0.462962963
ln45-9,1.211111111,3.194444444,5.544444444,5.074074074,0.314814815
ln46-0,0.405555556,2.388888889,5.138888889,4.175925926,1.666666667
ln47-1,1.283333333,3.655555556,5.827777778,4.25,0.138888889
ln48-2,0.925555556,2.568888889,4.586666667,5.037037037,2.518518519
ln49-3,0.416666667,2.627777778,5.305555556,5.25,2.638888889
ln50-5,1.561111111,3.488888889,5.722222222,3.916666667,0.37962963
ln51-6,0.483333333,1.922222222,4.75,5.083333333,2.944444444
ln52-7,0.944444444,2.827777778,4.988888889,5.916666667,2.018518519
ln53-8,0.255555556,2.316666667,4.966666667,4.148148148,1.185185185
ln54-9,1.094444444,3.244444444,5.761111111,4.175925926,0.314814815
ln55-0,0.411111111,1.855555556,4.588888889,4.611111111,2.601851852
ln56-1,1.294444444,3.444444444,5.822222222,4.981481481,0.481481481
ln57-2,0.416666667,2.838888889,5.583333333,5.861111111,1.685185185
ln58-3,0.777777778,2.638888889,4.722222222,5.055555556,1.398148148
ln59-4,0.594444444,2.183333333,4.272222222,4.953703704,2.657407407
ln60-6,1.238888889,3.488888889,5.905555556,3.805555556,0.231481481
ln61-7,1.255555556,3.9,6.277777778,2.851851852,0.212962963
ln62-8,1.5,3.255555556,5.566666667,6,0.305555556
ln63-9,0.677777778,2.805555556,4.744444444,5.527777778,2.324074074
ln64-0,0.466666667,2.066666667,4.05,4.509259259,1.148148148
ln65-1,0.094444444,1.188888889,2.222222222,0.851851852,0.138888889
ln66-2,0.933333333,3.738888889,6.705555556,3.518518519,0.314814815
ln67-3,0.877777778,3.833333333,6.844444444,2.907407407,0.407407407
ln68-4,0.494444444,3.25,6.338888889,3.62037037,0.305555556
ln69-5,0.533333333,2.411111111,5.061111111,5.925925926,2.509259259
ln70-7,0.438888889,2.9,5.688888889,7.037037037,2.916666667
ln71-8,0.855555556,3.488888889,6.544444444,4.240740741,0.166666667
ln72-9,0.727777778,3.094444444,5.861111111,6.296296296,2.287037037
ln73-0,0.576388889,2.659722222,4.944444444,5.888888889,1.597222222
ln74-1,1.541666667,3.4375,5.9375,4.625,0.430555556
ln75-2,1.194444444,3.627777778,6.044444444,5.055555556,0.212962963
ln76-3,0.127777778,1.616666667,4.261111111,5.027777778,1.574074074
ln77-4,0.427777778,2.761111111,5.566666667,5.592592593,2.231481481
ln78-5,0.077777778,1.466666667,5.527777778,6.324074074,3.805555556
ln79-6,0.527777778,2.927777778,5.433333333,6.953703704,3.314814815
ln80-8,0.477777778,2.644444444,4.961111111,6.222222222,2.361111111
ln81-9,1.266666667,3.088888889,5.194444444,4.925925926,0.601851852
ln82-0,0.688888889,3.25,6.533333333,4.046296296,0.296296296
ln83-1,1.625555556,3.585555556,6.114444444,3.703703704,0.083333333
ln84-2,1.183333333,3.938888889,6.633333333,3.240740741,0.259259259
ln85-3,1.455555556,3.838888889,6.594444444,2.824074074,0.509259259
ln86-4,1.583333333,3.377777778,6.083333333,4.75,0.305555556
ln87-5,0.238888889,1.644444444,4.377777778,3.87037037,1.898148148
ln88-6,1.666666667,3.383333333,5.788888889,4.185185185,0.222222222
ln89-7,0.755555556,2.933333333,5.188888889,4.851851852,1.842592593
ln90-9,0.7,3.533333333,7.155555556,2.268518519,0.481481481
ln91-0,1.072222222,3.655555556,6.716666667,3.898148148,0.62962963
ln92-1,0.305555556,3.072222222,6.394444444,3.898148148,0.342592593
ln93-2,0.177777778,1.938888889,4.927777778,6.490740741,2.351851852
ln94-3,1.455555556,3.905555556,6.866666667,3.12962963,0.314814815
N2,0.344444444,3.243055556,6.963888889,2.606481481,0.268518519
LSJ2,0.284722222,2.486111111,5.972222222,6.726851852,3.217592593
